run_id,resize_number,old_capacity,new_capacity,gamma_effective,size,trigger_load,alpha_pre,alpha_post,moved_entries,pair_collisions_after,old_hash_a,old_hash_b,new_hash_a,new_hash_b
n1000-g1.25-t0.5-r1-h31042,5,37,47,1.2702702702702702,18,0.5135135135135135,0.4864864864864865,0.3829787234042553,18,2,289208513342756656,1737239256259392775,1175790274723732104,1110046690991243311
n1000-g1.25-t0.5-r1-h31042,6,47,59,1.2553191489361701,23,0.5106382978723404,0.48936170212765956,0.3898305084745763,23,4,1175790274723732104,1110046690991243311,2223751552928785042,585906322912266558
n1000-g1.25-t0.5-r1-h31042,7,59,79,1.3389830508474576,29,0.5084745762711864,0.4915254237288136,0.3670886075949367,29,5,2223751552928785042,585906322912266558,216001057262141823,1258409179699703360
n1000-g1.25-t0.5-r1-h31042,8,79,101,1.2784810126582278,39,0.5063291139240507,0.4936708860759494,0.38613861386138615,39,6,216001057262141823,1258409179699703360,1818499928968777257,1871060345558551550
n1000-g1.25-t0.5-r1-h31042,9,101,127,1.2574257425742574,50,0.504950495049505,0.49504950495049505,0.3937007874015748,50,7,1818499928968777257,1871060345558551550,842103669965125932,1719460426985524411
n1000-g1.25-t0.5-r1-h31042,10,127,163,1.2834645669291338,63,0.5039370078740157,0.49606299212598426,0.38650306748466257,63,15,842103669965125932,1719460426985524411,663312402986563884,1147830989259873065
n1000-g1.25-t0.5-r1-h31042,11,163,211,1.294478527607362,81,0.5030674846625767,0.49693251533742333,0.38388625592417064,81,13,663312402986563884,1147830989259873065,530133399472470732,283097919641614406
n1000-g1.25-t0.5-r1-h31042,12,211,269,1.2748815165876777,105,0.5023696682464455,0.4976303317535545,0.3903345724907063,105,23,530133399472470732,283097919641614406,1055129681217370319,1286563909733345339
n1000-g1.25-t0.5-r1-h31042,13,269,337,1.2527881040892193,134,0.5018587360594795,0.49814126394052044,0.39762611275964393,134,26,1055129681217370319,1286563909733345339,475811965840538922,361802660261835333
n1000-g1.25-t0.5-r1-h31042,14,337,431,1.2789317507418398,168,0.5014836795252225,0.49851632047477745,0.38979118329466356,168,36,475811965840538922,361802660261835333,511551704733751547,74427130775316711
n1000-g1.25-t0.5-r1-h31042,15,431,541,1.2552204176334107,215,0.5011600928074246,0.4988399071925754,0.3974121996303142,215,44,511551704733751547,74427130775316711,2159004646025084710,128890867864186189
n1000-g1.25-t0.5-r1-h31042,16,541,677,1.2513863216266174,270,0.5009242144177449,0.49907578558225507,0.3988183161004431,270,51,2159004646025084710,128890867864186189,2253279181086737181,1402874701225388646
n1000-g1.25-t0.5-r1-h31042,17,677,853,1.259970457902511,338,0.5007385524372231,0.49926144756277696,0.3962485345838218,338,265,2253279181086737181,1402874701225388646,1553425003596823705,1754792764004595386
n1000-g1.25-t0.5-r1-h31042,18,853,1069,1.2532239155920282,426,0.5005861664712778,0.49941383352872215,0.3985032740879326,426,103,1553425003596823705,1754792764004595386,616306861933080492,1569437286289445084
n1000-g1.25-t0.5-r1-h31042,19,1069,1361,1.2731524789522919,534,0.500467726847521,0.49953227315247895,0.3923585598824394,534,93,616306861933080492,1569437286289445084,335617465972059138,581327705028044665
n1000-g1.25-t0.5-r1-h31042,20,1361,1709,1.2556943423952975,680,0.5003673769287289,0.4996326230712711,0.3978935049736688,680,132,335617465972059138,581327705028044665,1281807480313938569,1286278291082997294
n1000-g1.25-t0.5-r1-h31042,21,1709,2137,1.2504388531304858,854,0.5002925687536571,0.49970743124634287,0.39962564342536266,854,155,1281807480313938569,1286278291082997294,1878934463301839021,453752749110972768
n1000-g1.25-t0.9-r1-h31042,1,11,17,1.5454545454545454,9,0.9090909090909091,0.8181818181818182,0.5294117647058824,9,5,1747481948824663489,1018574062632349030,1568554954941751187,1058122835884555215
